"date.x","month_year","swap","IPCA","IPCA_lag","ipcaanual","ipca_exp","ipca","selic","juro_real","juro_real_lag","IBC","hiato","hiato_lag","M1"
2013-06-01,"2013-06",9.27,0.26,0.37,6.69551404464925,0.48,5.59,7.9,1.12890027864405,0.863676207872355,146.34,-0.31544978196313,0.53166483155886,310759.832
2013-07-01,"2013-07",9.18,0.03,0.26,6.27055929389888,0.54,5.78,8.22608695652174,1.84014055785169,1.12890027864405,146.95,-0.112004523365962,-0.31544978196313,304941.433
2013-08-01,"2013-08",9.77,0.24,0.03,6.09063702440418,0.6,5.62,8.44545454545455,2.2196280341956,1.84014055785169,147.19,-0.259926925070341,-0.112004523365962,308211.808
2013-09-01,"2013-09",10.06,0.35,0.24,5.85856045937119,0.65,6.09,8.9,2.87311628594848,2.2196280341956,147.84,0.0381891907834626,-0.259926925070341,311800.042
2013-10-01,"2013-10",10.28,0.57,0.35,5.83751292771606,0.58,6.2,9.24782608695652,3.2222158900971,2.87311628594848,148.02,-0.0585894208555934,0.0381891907834626,308363.436
2013-11-01,"2013-11",10.73,0.54,0.57,5.77438916255046,0.5,6.28,9.45,3.47495349918872,3.2222158900971,148.36,0.115621562396153,-0.0585894208555934,325398.936
2013-12-01,"2013-12",10.55,0.92,0.54,5.91081808001375,0.5,6.17,9.89952380952381,3.76609849854683,3.47495349918872,148.78,0.521588914660321,0.115621562396153,354650.948
2014-01-01,"2014-01",10.97,0.55,0.92,5.58529405061854,0.45,6.11,10.1727272727273,4.34476530406731,3.76609849854683,148.34,0.25044427985889,0.521588914660321,323274.695
2014-02-01,"2014-02",11.37,0.69,0.55,5.67975405523644,0.3,6.01,10.425,4.4902128957296,4.34476530406731,147.96,0.209853559025441,0.25044427985889,326389.329
2014-03-01,"2014-03",11.35,0.92,0.69,6.15308827763967,0.35,6.11,10.65,4.23625143208157,4.4902128957296,147.74,0.466612296538653,0.209853559025441,321036.411
2014-04-01,"2014-04",11.33,0.67,0.92,6.27977520546976,0.39,6.26,10.875,4.32370579035035,4.23625143208157,147.01,0.300028240191744,0.466612296538653,320332.877
2014-05-01,"2014-05",11.26,0.46,0.67,6.37507439614915,0.47,6.21,10.9,4.25374612383318,4.32370579035035,146.38,0.230524779733094,0.300028240191744,314796.451
2014-06-01,"2014-06",10.97,0.4,0.46,6.52361329915598,0.5,5.99,10.9,4.10837237425807,4.25374612383318,143.42,-2.2864770484383,0.230524779733094,317270.689
2014-07-01,"2014-07",10.88,0.01,0.4,6.50231496599611,0.55,5.94,10.9,4.12919196677366,4.10837237425807,144.68,-0.834766606234458,-2.2864770484383,313720.506
2014-08-01,"2014-08",11.14,0.25,0.01,6.51293969813556,0.6,6,10.9,4.11880501495654,4.12919196677366,145.63,0.112406498469028,-0.834766606234458,317892.917
2014-09-01,"2014-09",11.41,0.57,0.25,6.74645087634766,0.68,6.17,10.9,3.89104189371476,4.11880501495654,146.29,0.701356541649531,0.112406498469028,325937.821
2014-10-01,"2014-10",11.84,0.42,0.57,6.58723870938487,0.6,6.38,10.9217391304348,4.06662230257051,3.89104189371476,145.48,-0.130969408921372,0.701356541649531,324782.47
2014-11-01,"2014-11",12.35,0.51,0.42,6.55543428168166,0.48,6.5,11.15,4.31190182771204,4.06662230257051,145.62,0.0939293360571258,-0.130969408921372,338309.402
2014-12-01,"2014-12",12.68,0.78,0.51,6.40761659639197,0.5,6.59,11.5818181818182,4.86262332615921,4.31190182771204,146.28,1.0154675832959,0.0939293360571258,363361.535
2015-01-01,"2015-01",12.7,1.24,0.78,7.13781307030055,0.44,6.68,11.8166666666667,4.36713561933171,4.86262332615921,145.12,0.355232694834436,1.0154675832959,333454.078
2015-02-01,"2015-02",13.07,1.22,1.24,7.70175229889583,0.27,7.06,12.15,4.13015350832855,4.36713561933171,143.94,-0.109810265895784,0.355232694834436,330708.611
2015-03-01,"2015-03",13.61,1.32,1.22,8.12863201470597,0.26,6.93,12.5818181818182,4.11841533934005,4.13015350832855,143.78,0.607701039967207,-0.109810265895784,327928.96
2015-04-01,"2015-04",13.39,0.71,1.32,8.17159561141396,0.26,7.01,12.6775,4.16551532139051,4.11841533934005,142.01,-0.165720193223352,0.607701039967207,319444.733
2015-05-01,"2015-05",13.73,0.74,0.71,8.47308920857897,0.41,6.22,13.15,4.3115862427666,4.16551532139051,141.05,-0.10420252444475,-0.165720193223352,318441.737
2015-06-01,"2015-06",14.17,0.79,0.74,8.89444881805452,0.46,6.04,13.5785714285714,4.30152561618944,4.3115862427666,139.57,-0.618064496572449,-0.10420252444475,318619.292
2015-07-01,"2015-07",14.02,0.62,0.79,9.55863853687275,0.49,6.52,13.6934782608696,3.77408826836161,4.30152561618944,138.44,-0.908941108778046,-0.618064496572449,312043.132
2015-08-01,"2015-08",14.2,0.22,0.62,9.52585290938044,0.56,5.95,14.15,4.221968574347,3.77408826836161,138.82,0.163038014481136,-0.908941108778046,310097.6
2015-09-01,"2015-09",15.26,0.54,0.22,9.49318138121813,0.63,5.5,14.15,4.2530672321671,4.221968574347,137.65,-0.406511658853996,0.163038014481136,308941.546
2015-10-01,"2015-10",15.34,0.82,0.54,9.92932231482193,0.55,6.32,14.15,3.83944665199576,4.2530672321671,138.8,1.29443883795065,-0.406511658853996,311859.455
